Location Name;URL;Mailbox Plus;Telephone Answering;Virtual Office;Virtual Office Plus
Tokyo Akasaka Business Place (Open Office);http://www.regus.co.jp/locations/virtual-office/tokyo-akasaka-business-place-open-office;¥13,900.00;¥17,900.00;¥19,900.00;n/a
Tokyo Akasaka K Tower;http://www.regus.co.jp/locations/virtual-office/tokyo-akasaka-k-tower;¥19,900.00;¥23,900.00;¥39,900.00;¥48,900.00
Tokyo Akasaka Mitsuke (Open Office);http://www.regus.co.jp/locations/virtual-office/tokyo-akasaka-mitsuke-open-office;¥7,900.00;¥17,900.00;¥18,900.00;n/a
Tokyo Akihabara Minami;http://www.regus.co.jp/locations/virtual-office/tokyo-akihabara-minami;¥7,900.00;¥23,900.00;¥24,900.00;¥28,900.00
Tokyo Aoyama Central (Open Office);http://www.regus.co.jp/locations/virtual-office/tokyo-aoyama-central-open-office;¥11,900.00;¥17,900.00;¥19,900.00;n/a
Tokyo Aoyama Place Canada;http://www.regus.co.jp/locations/virtual-office/tokyo-aoyama-place-canada;¥16,900.00;¥17,900.00;¥29,900.00;¥39,900.00
Tokyo Arca Central;http://www.regus.co.jp/locations/virtual-office/tokyo-arca-central;¥9,900.00;¥23,900.00;¥26,900.00;¥34,900.00
Tokyo Azabu Green Terrace;http://www.regus.co.jp/locations/virtual-office/tokyo-azabu-green-terrace;¥16,900.00;¥23,900.00;¥32,900.00;¥40,900.00
Tokyo Azabujuban (Open Office);http://www.regus.co.jp/locations/virtual-office/tokyo-azabujuban-open-office;¥11,900.00;¥12,900.00;¥15,900.00;n/a
Tokyo Daikanyama;http://www.regus.co.jp/locations/virtual-office/tokyo-daikanyama;¥11,900.00;¥17,900.00;¥24,900.00;¥31,900.00
Tokyo Ebisu;http://www.regus.co.jp/locations/virtual-office/tokyo-ebisu;¥13,900.00;¥17,900.00;¥24,900.00;¥35,900.00
Tokyo Ebisu Minami;http://www.regus.co.jp/locations/virtual-office/tokyo-ebisu-minami;¥13,900.00;¥17,900.00;¥29,900.00;¥37,900.00
Tokyo Ginza 1-Chome;http://www.regus.co.jp/locations/virtual-office/tokyo-ginza-1-chome;¥16,900.00;¥23,900.00;¥32,900.00;¥39,900.00
Tokyo Ginza 3-Chome;http://www.regus.co.jp/locations/virtual-office/tokyo-ginza-3-chome;¥16,900.00;¥23,900.00;¥35,900.00;¥46,900.00
Tokyo Harajuku;http://www.regus.co.jp/locations/virtual-office/tokyo-harajuku;¥9,900.00;¥17,900.00;¥21,900.00;¥28,900.00
Tokyo Hiroo;http://www.regus.co.jp/locations/virtual-office/tokyo-hiroo;¥13,900.00;¥23,900.00;¥29,900.00;¥37,900.00
Tokyo Ikebukuro Minami (Open Office);http://www.regus.co.jp/locations/virtual-office/tokyo-ikebukuro-minami-open-office;¥11,900.00;¥12,900.00;¥15,900.00;n/a
Tokyo Jinbocho (Open Office);http://www.regus.co.jp/locations/virtual-office/tokyo-jinbocho-open-office;¥9,900.00;¥17,900.00;¥13,900.00;n/a
Tokyo Kamiyacho MT Building;http://www.regus.co.jp/locations/virtual-office/tokyo-kamiyacho-mt-building;¥13,900.00;¥23,900.00;¥29,900.00;¥42,900.00
Tokyo Kojimachi;http://www.regus.co.jp/locations/virtual-office/tokyo-kojimachi;¥7,900.00;¥23,900.00;¥24,900.00;¥28,900.00
Tokyo Marunouchi Tekko Building;http://www.regus.co.jp/locations/virtual-office/tokyo-marunouchi-tekko-building;¥19,900.00;¥23,900.00;¥39,900.00;¥58,900.00
Tokyo Minami-Aoyama (Open Office);http://www.regus.co.jp/locations/virtual-office/tokyo-minami-aoyama-open-office;¥11,900.00;¥12,900.00;¥16,900.00;n/a
Tokyo Nakano Sunplaza;http://www.regus.co.jp/locations/virtual-office/tokyo-nakano-sunplaza;¥9,900.00;¥17,900.00;¥22,900.00;¥39,900.00
Tokyo Nihonbashi Hakozaki (Open Office);http://www.regus.co.jp/locations/virtual-office/tokyo-nihonbashi-hakozaki-open-office;¥9,900.00;¥12,900.00;¥13,900.00;n/a
