Location Name;URL;Lounge Price;VO Price
Aomori, Aqua Aomori Square;http://www.regus.co.jp/locations/office-space/aomori-aqua-aomori-square;3300;7900
Chiba, Chiba Daiei;http://www.regus.co.jp/locations/office-space/chiba-chiba-daiei;3300;9900
Fukuoka Aqua Hakata;http://www.regus.co.jp/locations/office-space/fukuoka-aqua-hakata;3300;11900
Fukuoka, Hakata Ekimaedori (Open Office);http://www.regus.co.jp/locations/office-space/fukuoka-hakata-ekimaedori-open-office;3300;9900
Fukuoka, Hakataeki Chikushiguchi Centre;http://www.regus.co.jp/locations/office-space/fukuoka-hakataeki-chikushiguchi-centre;9900
Fukuoka, JR JP Hakata Building;http://www.regus.co.jp/locations/office-space/fukuoka-jr-jp-hakata-building;3300;16900
Fukuoka, Tenjin Minami;http://www.regus.co.jp/locations/office-space/fukuoka-tenjin-minami;3300;11900
Hiroshima high;http://www.regus.co.jp/locations/office-space/hiroshima-high;3300;9900
Hiroshima, Otemachi (Open Office);http://www.regus.co.jp/locations/office-space/hiroshima-otemachi-open-office;9900
Ibaraki, Mito (Open Office);http://www.regus.co.jp/locations/office-space/ibaraki-mito-open-office;9900
Kagawa, Takamatsu;http://www.regus.co.jp/locations/office-space/kagawa-takamatsu;3300;9900
Kagoshima, Kagoshima Tenmonkan;http://www.regus.co.jp/locations/office-space/kagoshima-kagoshima-tenmonkan;3300;9900
Kobe, Kokusai Kaikan;http://www.regus.co.jp/locations/office-space/kobe-kokusai-kaikan;3300;13900
Kyoto, Karasuma (Open Office);http://www.regus.co.jp/locations/office-space/kyoto-karasuma-open-office;9900
Kyoto, Kawaramachi Oike (Open Office);http://www.regus.co.jp/locations/office-space/kyoto-kawaramachi-oike-open-office;9900
Nagoya Hirokoji Garden Avenue;http://www.regus.co.jp/locations/office-space/nagoya-hirokoji-garden-avenue;3300;11900
Nagoya Marunouchi (Open Office);http://www.regus.co.jp/locations/office-space/nagoya-marunouchi-open-office;
Nagoya Meieki;http://www.regus.co.jp/locations/office-space/nagoya-meieki;3300;13900
Nagoya Meieki;http://www.regus.co.jp/locations/office-space/nagoya-meieki;3300;13900
Nagoya, Dai Nagoya Building;http://www.regus.co.jp/locations/office-space/nagoya-dai-nagoya-building;0
Nagoya, Fushimi (Open Office);http://www.regus.co.jp/locations/office-space/nagoya-fushimi-open-office;
Nagoya, Meieki Minami (Open Office);http://www.regus.co.jp/locations/office-space/nagoya-meieki-minami-open-office;3300;7900
Nagoya, Nagoyaeki Higashiguchi;http://www.regus.co.jp/locations/office-space/nagoya-nagoyaeki-higashiguchi;0;9900
Nagoya, Spaces JP Tower Nagoya;http://www.regus.co.jp/locations/office-space/nagoya-spaces-jp-tower-nagoya;0
Okayama, Daiichi Central;http://www.regus.co.jp/locations/office-space/okayama-daiichi-central;3300;9900
Okinawa, Hawk City Naha;http://www.regus.co.jp/locations/office-space/okinawa-hawk-city-naha;3300;11900
Osaka Kokusai;http://www.regus.co.jp/locations/office-space/osaka-kokusai;3300;13900
Osaka Umeda;http://www.regus.co.jp/locations/office-space/osaka-umeda;3300;16900
Osaka, Hankyu Terminal Building;http://www.regus.co.jp/locations/office-space/osaka-hankyu-terminal-building;3300;11900
Osaka, Keihan Yodoyabashi(Open Offiice);http://www.regus.co.jp/locations/office-space/osaka-keihan-yodoyabashi-open-offiice;9900
Osaka, Namba Parks;http://www.regus.co.jp/locations/office-space/osaka-namba-parks;0;12900
Osaka, Pacific Marks Nishi-Umeda;http://www.regus.co.jp/locations/office-space/osaka-pacific-marks-nishi-umeda;3300;11900
Osaka, Shin Osaka Hankyu Building;http://www.regus.co.jp/locations/office-space/osaka-shin-osaka-hankyu-building;3300;11900
Osaka, Shin-Osaka Kita (Open Office);http://www.regus.co.jp/locations/office-space/osaka-shin-osaka-kita-open-office;
Sapporo Kita Building;http://www.regus.co.jp/locations/office-space/sapporo-kita-building;3300
Sapporo, Minami (Openoffice);http://www.regus.co.jp/locations/office-space/sapporo-minami-openoffice;7900
Sapporo, Odori;http://www.regus.co.jp/locations/office-space/sapporo-odori;3300;13900
Sendai Mark One;http://www.regus.co.jp/locations/office-space/sendai-mark-one;3300
Sendai, Aoba Dori (Open Office);http://www.regus.co.jp/locations/office-space/sendai-aoba-dori-open-office;9900
Sendai, Ekimae (Open Office);http://www.regus.co.jp/locations/office-space/sendai-ekimae-open-office;13900
Tokyo Aoyama Place Canada;http://www.regus.co.jp/locations/office-space/tokyo-aoyama-place-canada;3300;7900
Tokyo Aoyama Place Canada;http://www.regus.co.jp/locations/office-space/tokyo-aoyama-place-canada;3300;16900
Tokyo Arca Central;http://www.regus.co.jp/locations/office-space/tokyo-arca-central;3300;9900
Tokyo Ark Hills;http://www.regus.co.jp/locations/office-space/tokyo-ark-hills;3300
